archive,fold,field,run_00z,phase,class,detail
ICON,fold_2,radiation,2019-11-05,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-06,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-07,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-08,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-09,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-10,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-11,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-12,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-13,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-14,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-15,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-16,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-17,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-18,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-19,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-20,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-21,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-22,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-23,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-24,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-25,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-26,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-27,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-28,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-29,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-11-30,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-01,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-02,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-03,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-04,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-05,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-06,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-07,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-08,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-09,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-10,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-11,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-12,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-13,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-14,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-15,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-16,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-17,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-18,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-19,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-20,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-21,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-22,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-23,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-24,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-25,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-26,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-27,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-28,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-29,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-30,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2019-12-31,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_2,radiation,2020-02-01,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-04-03,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-04-07,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-06-01,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-06-05,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-06-25,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-07-03,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-07-13,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-07-14,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-07-26,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-01,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-02,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-04,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-05,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-06,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-07,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-09,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-10,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-14,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-15,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-16,history,ARCHIVE_ABSENCE (run file absent),
ICON,fold_2,radiation,2020-11-17,history,ARCHIVE_ABSENCE (run file absent),
