policy,fold,delivery_date,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
A4,fold_3,2022-09-06,24,1,2022-09-06,2022-09-06,35.90984375514248,45.61662787301102,27.929660925436547,13.964830462718274,46.429458702201195,-10.519614947058715,-8.19871815145102,8.198718151451033,34.89428690945582,0,0,0.875,21,0,3,139.91576360533327,139.91576360533327,139.9157636053333,1.0,24,0,0,294.83709935493226,294.8370993549323,294.8370993549323,1.0,24,0,0,501.6714929975686,501.67149299756863,501.67149299756863
A4,fold_3,2022-09-07,24,1,2022-09-07,2022-09-07,38.21125158521023,47.881465141958564,26.84294024414942,13.42147012207471,36.440332926027395,1.7709186591828328,18.451001448208352,18.451001448208388,35.55659196652635,0,0,0.8333333333333334,20,4,0,128.27401613433054,128.2740161343305,128.27401613433057,1.0,24,0,0,273.48924216170263,273.48924216170263,273.4892421617027,1.0,24,0,0,453.6937420543156,453.69374205431563,453.69374205431563
A4,fold_3,2022-09-08,24,1,2022-09-08,2022-09-08,46.7768304807891,62.76844543032832,28.776856417371036,14.388428208685516,41.93708686472187,4.839743616067231,37.47397491941949,37.47397491941945,42.98961613800538,0,0,0.6666666666666666,16,8,0,115.93885235211125,115.93885235211127,115.93885235211127,0.9583333333333334,23,1,0,246.66812274491372,246.66812274491372,246.66812274491377,1.0,24,0,0,409.19994793610357,409.1999479361036,409.1999479361036
A4,fold_3,2022-09-09,24,1,2022-09-09,2022-09-09,76.66408791743177,84.95621371792679,36.3130849783338,18.1565424891669,62.25398263173668,14.410105285695089,62.14723576113075,62.14723576113079,45.243913006364856,0,0,0.2916666666666667,7,15,2,103.37720746895275,103.37720746895275,103.37720746895279,0.9166666666666666,22,2,0,219.4733911800945,219.4733911800945,219.47339118009455,1.0,24,0,0,364.0863652946685,364.08636529466844,364.0863652946685
A4,fold_3,2022-09-10,24,1,2022-09-10,2022-09-10,94.79645350832573,115.00575712331785,55.157091694884855,27.578545847442427,113.77771713572366,-18.98126362739793,-94.79645350832573,94.79645350832567,57.19825456818762,0,0,0.375,9,0,15,98.44429299646784,98.44429299646782,98.44429299646785,0.5833333333333334,14,0,10,211.50188775415435,211.50188775415432,211.50188775415432,0.75,18,0,6,352.16729377499064,352.16729377499064,352.16729377499064
A4,fold_3,2022-09-11,24,1,2022-09-11,2022-09-11,69.71993877560257,88.77470565672947,41.22688358786668,20.613441793933344,79.88678590579957,-10.166847130197006,-64.13880979996827,64.13880979996827,51.25757479105645,0,0,0.375,9,0,15,86.2248434794388,86.22484347943879,86.22484347943882,0.5833333333333334,14,0,10,189.30257339180898,189.30257339180898,189.302573391809,0.875,21,0,3,320.09832110727,320.09832110726995,320.09832110727007
A4,fold_3,2022-09-12,24,1,2022-09-12,2022-09-12,40.22406999139431,51.48023669573538,21.511786323960546,10.755893161980273,35.474903580033924,4.749166411360382,34.34154569859455,34.34154569859459,31.011400210425638,0,0,0.5,12,11,1,68.54495861319549,68.54495861319549,68.54495861319549,0.875,21,3,0,152.98786448631492,152.98786448631495,152.98786448631495,1.0,24,0,0,262.059930100081,262.05993010008103,262.05993010008103
A4,fold_3,2022-09-13,24,1,2022-09-13,2022-09-13,42.80845752622619,46.94288340744557,19.977024600303853,9.988512300151926,33.73959933481831,9.068858191407884,41.47882897477078,41.47882897477086,15.695175795822832,0,0,0.375,9,15,0,62.101477750076754,62.101477750076754,62.10147775007681,0.9583333333333334,23,1,0,136.8126487094864,136.81264870948638,136.81264870948644,1.0,24,0,0,235.75566723762117,235.7556672376212,235.7556672376212
A4,fold_3,2022-09-14,24,1,2022-09-14,2022-09-14,52.544802402687594,63.08925636329964,29.751076178804567,14.875538089402284,56.15525086534459,-3.6104484626569993,-37.70291178729563,37.702911787295704,43.235464397259015,0,0,0.25,6,2,16,53.924038310984066,53.92403831098409,53.92403831098409,0.5,12,1,11,120.36223007725539,120.36223007725539,120.36223007725539,0.875,21,0,3,206.80446711886893,206.80446711886896,206.80446711886896
A4,fold_3,2022-09-15,24,1,2022-09-15,2022-09-15,63.345695111343076,79.19982157565342,36.224588671372885,18.112294335686446,60.581832207973946,2.76386290336913,59.895142549654906,59.895142549654906,41.016009721524796,0,0,0.25,6,17,1,55.57576530521345,55.57576530521345,55.57576530521345,0.5833333333333334,14,10,0,119.15233790233385,119.15233790233384,119.1523379023339,0.8333333333333334,20,4,0,203.57998442867265,203.57998442867262,203.57998442867267
