scope,candidate,baseline,metric,difference,ci_lower,ci_upper,replicates
fold_4,A3,B3,WIS,-0.8319999995069445,-1.3062634494265777,-0.3123681407441046,2000
fold_4,A4,B0,MAE,-4.705393018999686,-7.110444461959858,-2.5384725425429444,2000
fold_4,A4,B0,WIS,-3.391740348914267,-4.63841266195995,-2.3254863359321267,2000
fold_4,A4,B1,MAE,-1.7860997922429789,-3.6412153513105454,-0.18875483702241694,2000
fold_4,A4,B1,WIS,-0.20145067477008283,-1.235132988098374,0.7557971290575195,2000
fold_4,A4,B2,MAE,1.7385624683780065,0.550556233308304,2.6197155206490463,2000
fold_4,A4,B2,WIS,1.2640484721410736,0.5541842485959608,1.7788367580292759,2000
fold_4,A4,B3,MAE,-0.1197210563013229,-1.75950768176122,1.3475368345704901,2000
fold_4,A4,B3,WIS,0.2112847883753517,-0.6644043628445353,0.9468656599366064,2000
fold_4,A5,B0,MAE,-6.473855134677272,-8.289364120222725,-4.750579921285601,2000
fold_4,A5,B0,WIS,-4.599942372847922,-5.558350172615069,-3.702436879753949,2000
fold_4,A5,B1,MAE,-3.554561907920565,-4.779362852053245,-2.524876963082466,2000
fold_4,A5,B1,WIS,-1.4096526987037379,-2.1617397222416472,-0.6463595799756986,2000
fold_4,A5,B2,MAE,-0.029899647299579613,-0.7403004267951722,0.5779175590741757,2000
fold_4,A5,B2,WIS,0.055846448207418575,-0.3473448946095649,0.37055280969952636,2000
fold_4,A5,B3,MAE,-1.888183171978909,-2.8450880228901276,-1.0180725961712256,2000
fold_4,A5,B3,WIS,-0.9969172355583034,-1.5188110176885539,-0.5404587317773637,2000
fold_5,A1,B0,MAE,-11.070637540964,-15.323447509932842,-5.564445803465535,2000
fold_5,A1,B0,WIS,-6.188206877907662,-8.373119980121974,-3.2480832726833584,2000
fold_5,A1,B1,MAE,-3.7047979930519084,-6.706339292495035,-1.1884242493201418,2000
fold_5,A1,B1,WIS,-1.7319013913779173,-3.495069912921661,-0.10920018692729105,2000
fold_5,A1,B2,MAE,0.28339641080309974,-0.646616200627534,0.8540655837874941,2000
fold_5,A1,B2,WIS,0.22805589005371196,-0.19528006870474535,0.564234031432101,2000
fold_5,A1,B3,MAE,-5.9509323815164805,-8.872725591944896,-3.2665425516435462,2000
