policy,fold,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95,window_start,window_end,calendar_days
A5,fold_2,2159,90,2021-04-01,2021-06-29,9.537144380613197,14.734585315703455,6.1724366615860635,3.0862183307930318,9.571854603445535,-0.03471022283233705,1.7036134123681566,7.480571226694238,6.450185108470753,0,0,0.5094951366373321,1100,496,563,13.622909339799836,12.755622626457928,23.065845729120724,0.7860120426123205,1697,221,241,35.862214742577166,31.755603399373882,71.06785901139088,0.9351551644279759,2019,68,72,73.49142698351007,65.28259752053053,132.16243637052395,2021-04-01,2021-06-29,90
A5,fold_3,2112,88,2022-07-01,2022-09-28,55.114834998187035,74.26954225990488,32.32620060714625,16.163100303573124,53.29270936906545,1.8221256291215884,8.463640878630736,47.23643716600089,33.31898572296222,0,0,0.4654356060606061,983,601,528,78.10877594442054,78.03915313136801,119.59589224779,0.7646780303030303,1615,267,230,169.54412170966611,164.08337980969284,255.47235225565058,0.9341856060606061,1973,84,55,319.468862229651,299.330079964126,520.6917713702492,2022-07-01,2022-09-28,90
A5,fold_4,2160,90,2025-05-01,2025-07-29,16.510709680137534,25.708475260702485,9.961298222390175,4.9806491111950875,16.438400414540027,0.0723092655975084,1.337998410003071,10.127939853844923,14.786990166501573,0,0,0.5,1080,549,531,22.860102373636884,24.124588827879442,34.79425258047301,0.7981481481481482,1724,215,221,51.27289254800538,49.30730879612666,74.85007555936102,0.9430555555555555,2037,56,67,97.02619920087731,94.49848941149719,143.95226638507464,2025-05-01,2025-07-29,90
A5,fold_5,2156,90,2026-01-08,2026-04-07,20.5906348386011,29.68924756007073,12.04735622594658,6.02367811297329,20.02569969444109,0.5649351441600059,2.069775864316057,16.552109694082414,14.296248022077329,0,0,0.4865491651205937,1049,592,515,31.088468193483788,29.068541647402384,54.170702507222266,0.787569573283859,1698,249,209,65.36732937346117,63.660315324348595,106.1648506230085,0.9512987012987013,2051,56,49,149.7172071789626,150.60634621824246,267.73981105597545,2026-01-08,2026-04-07,90
B0,fold_1,2160,90,2020-07-01,2020-09-28,8.633138888888888,14.550374132901442,5.709041481481482,2.8545207407407407,8.590592592592593,0.04254629629629636,0.26563888888888904,7.3831759259259275,6.303100694444444,0,0,0.4597222222222222,993,613,554,8.888944444444443,8.280000000000001,12.805,0.7416666666666667,1602,290,268,22.774811111111106,22.486499999999992,32.977999999999994,0.9199074074074074,1987,92,81,51.30301666666668,52.94800000000002,64.09700000000002,2020-07-01,2020-09-28,90
B0,fold_2,2159,90,2021-04-01,2021-06-29,16.171625752663275,25.672794231259175,10.88716980083372,5.44358490041686,16.242139879573877,-0.0705141269106068,-1.2664242704955992,14.462467995169082,9.255120577159312,0,0,0.5173691523853636,1117,478,564,17.965217693376562,18.477499999999992,22.69,0.7744326076887448,1672,217,270,54.29137193144974,56.14,67.061,0.9147753589624826,1975,76,108,114.57869198703105,122.38525000000016,136.9025,2021-04-01,2021-06-29,90
B0,fold_3,2112,88,2022-07-01,2022-09-28,86.9488731060606,121.60900672043293,51.72695986877705,25.863479934388526,85.65789299242422,1.2909801136363646,9.941519886363636,76.61560132575758,41.74388809974748,0,0,0.41051136363636365,867,642,603,103.48724431818182,101.37125000000003,185.1675,0.7182765151515151,1517,318,277,238.9440795454545,216.11599999999996,423.89000000000004,0.8768939393939394,1852,142,118,376.3510369318182,335.24700000000007,568.1875,2022-07-01,2022-09-28,90
B0,fold_4,2160,90,2025-05-01,2025-07-29,22.984564814814817,36.35392467286538,14.561240595238095,7.2806202976190475,22.84526851851852,0.13929629629629584,-0.4930370370370366,15.530240740740737,20.24671875,0,0,0.5064814814814815,1094,517,549,28.258,25.23249999999999,40.63249999999999,0.8143518518518519,1759,187,214,75.79389999999998,73.01649999999998,102.544,0.9398148148148148,2030,67,63,149.50966666666667,151.690125,171.30200000000002,2025-05-01,2025-07-29,90
B0,fold_5,2156,90,2026-01-08,2026-04-07,30.503414888682755,43.69833951035703,17.915066285117945,8.957533142558972,30.09608070500928,0.40733418367347035,2.600382653061225,25.717598530595822,19.360029051887555,0,0,0.4155844155844156,896,644,616,33.25323457792208,25.258124999999993,63.71625,0.7082560296846011,1527,312,317,79.09610992578848,69.39349999999999,139.71749999999997,0.8849721706864564,1908,126,122,145.8799979128015,159.31156250000004,197.99312500000002,2026-01-08,2026-04-07,90
B1,fold_1,2160,90,2020-07-01,2020-09-28,6.6128886954178006,10.821226795773368,4.0026294086922105,2.0013147043461053,6.644541232166757,-0.0316525367489561,-0.8034800263162767,5.607534172310233,4.441553798961657,0,0,0.3902777777777778,843,569,748,7.065185550140391,6.562474829363394,13.614609039968048,0.6763888888888889,1461,296,403,14.753674024354854,13.782884921698923,26.54875833683153,0.8944444444444445,1932,113,115,27.22446992436816,25.77696030215912,43.65979207173266,2020-07-01,2020-09-28,90
B1,fold_2,2159,90,2021-04-01,2021-06-29,20.03914109230744,24.60158139432297,10.824925546830002,5.412462773415001,20.03906532944399,7.576286345050186e-05,-11.887317902059083,17.748464194965795,9.065828279924197,0,0,0.23714682723483094,512,243,1404,20.61224099330952,21.1852559551227,28.402788652578046,0.5062528948587309,1093,195,871,33.82735686156299,33.70284927294212,46.2999921063924,0.8832792959703566,1907,110,142,67.26792804831932,66.45761756523461,92.88351169924894,2021-04-01,2021-06-29,90
B1,fold_3,2112,88,2022-07-01,2022-09-28,140.9928521771404,175.84915342062834,87.93534942326052,43.96767471163026,141.007962544039,-0.015110366898565883,-124.48698951327908,133.39896612970588,47.928891092241685,0,0,0.20880681818181818,441,152,1519,118.22169988514405,118.85286684537249,173.96247892616137,0.3527462121212121,745,102,1265,198.61746658772785,197.15985178408476,279.59606772704365,0.5553977272727273,1173,22,917,330.900820003033,321.7863714001095,450.8272737496083,2022-07-01,2022-09-28,90
B1,fold_4,2160,90,2025-05-01,2025-07-29,20.06527158805811,29.712497951330132,11.370950921093906,5.685475460546953,20.10430225358185,-0.039030665523742014,4.512356385457043,13.887523014144325,16.442030812203225,0,0,0.46805555555555556,1011,590,559,27.832901191725316,25.99143086819521,48.74233023343037,0.8125,1755,319,86,62.582014081321134,60.9319585671342,90.55528584404198,0.9625,2079,66,15,116.35558160617329,113.6098095859333,151.79818613088457,2025-05-01,2025-07-29,90
B1,fold_5,2156,90,2026-01-08,2026-04-07,23.168349101365912,32.91769317260091,13.470357590829112,6.735178795414556,23.164312380640144,0.004036720725766723,0.5349224725225775,18.488319213596345,15.604500869185463,0,0,0.5148423005565863,1110,490,556,35.60975573327247,33.67060133711682,56.79240173463576,0.7866419294990723,1696,239,221,70.27236024149362,66.51056903102605,104.41025855505129,0.9239332096474954,1992,95,69,116.96555052387271,112.5630910207085,177.88647382804686,2026-01-08,2026-04-07,90
B2,fold_1,2160,90,2020-07-01,2020-09-28,6.219269083145662,10.657679757299416,3.9496630165748834,1.9748315082874417,6.203372929091896,0.01589615405376493,0.10403145475981315,5.3189314470141325,4.561923247391403,0,0,0.45092592592592595,974,553,633,6.749694967697097,6.150311137284081,10.16654657450416,0.7481481481481481,1616,261,283,16.21910218912214,14.56944240131563,25.503953600924888,0.912962962962963,1972,84,104,34.17077960892051,36.40674448927895,47.624445417291085,2020-07-01,2020-09-28,90
B2,fold_2,2159,90,2021-04-01,2021-06-29,9.676380314770356,15.001715129950888,6.037991118171897,3.0189955590859485,9.756913166350904,-0.08053285158054761,1.9849661826344327,7.931705140998632,6.6025643150292606,0,0,0.48633626679018066,1050,530,579,12.099967451780946,12.130045449699168,15.9099959127808,0.7836961556276054,1692,222,245,31.884259070845815,32.04301323583753,42.852162254500655,0.9393237610004632,2028,68,63,60.417390540388844,61.63102537273009,70.28561654757857,2021-04-01,2021-06-29,90
B2,fold_3,2112,88,2022-07-01,2022-09-28,54.0078246501801,75.05706693059392,32.324242234891194,16.162121117445597,54.2515630341949,-0.2437383840148133,1.8975528945860267,43.37341731848554,38.02323298742718,0,0,0.46448863636363635,981,562,569,69.45217520247341,70.6609402347463,79.64668700249331,0.7623106060606061,1610,242,260,160.58049424453472,162.31812828215092,191.49360009564685,0.9232954545454546,1950,80,82,301.1767520572288,324.6895508124203,361.7284923211689,2022-07-01,2022-09-28,90
B2,fold_4,2160,90,2025-05-01,2025-07-29,16.540609327437128,25.795228887774314,9.905451774182755,4.952725887091377,16.497111553956056,0.04349777348106997,1.4456326663752892,9.483777349909703,15.237292295977767,0,0,0.5185185185185185,1120,523,517,23.649943573961064,23.020675975187814,27.935507222105976,0.8060185185185185,1741,209,210,51.01884086306049,51.734251318267496,56.98948322187951,0.9486111111111111,2049,59,52,95.87075718474625,94.46880388017051,110.17927578366454,2025-05-01,2025-07-29,90
B2,fold_5,2156,90,2026-01-08,2026-04-07,19.202501843799176,27.718969509863385,11.52600775086585,5.763003875432925,19.001243740536616,0.20125810326256183,1.050997200028044,14.278427231298613,14.89074167335184,0,0,0.4587198515769944,989,586,581,24.200960925257778,22.799108737971707,34.50882388707832,0.761595547309833,1642,252,262,54.910366972405065,53.78318019324382,79.00283467069337,0.923469387755102,1991,85,80,106.6880794328336,117.2637765320345,146.15090636185982,2026-01-08,2026-04-07,90
B3,fold_1,2160,90,2020-07-01,2020-09-28,6.507629688478688,10.526574854979174,4.014541625932317,2.0072708129661585,6.494955257294539,0.012674431184148844,0.10992305931799567,5.477333618170371,4.483013414574919,0,0,0.46296296296296297,1000,556,604,7.9717032625224995,7.543748809197648,11.032474253024855,0.7638888888888888,1650,236,274,17.64845051912601,16.20673512771253,24.618778395640305,0.9254629629629629,1999,79,82,35.72453691635477,36.037031562148954,47.505574146174496,2020-07-01,2020-09-28,90
B3,fold_2,2159,90,2021-04-01,2021-06-29,11.663357337065136,17.691289764026603,7.231317452216929,3.6156587261084647,12.085637909115059,-0.4222805720499206,1.4249088451476073,9.84860538031702,7.279192902806954,0,0,0.49421028253821214,1067,492,600,14.727877097816183,14.87074313436056,17.60417329488959,0.77674849467346,1677,207,275,37.74109166989264,36.89191675893668,51.50414219354266,0.9333024548402038,2015,67,77,75.82701484268291,78.41730917796332,89.46774843951658,2021-04-01,2021-06-29,90
B3,fold_3,2112,88,2022-07-01,2022-09-28,70.61551747920332,89.49525277203959,39.58339255825997,19.791696279129987,70.65062700038699,-0.03510952118368396,9.07008142296775,59.55232085250338,39.04802005107438,0,0,0.421875,891,624,597,101.75242554589369,111.7162377220161,133.8517061825976,0.743844696969697,1571,296,245,195.37636349508904,192.9338992621901,270.608033855635,0.9024621212121212,1906,121,85,322.88349932462427,324.5611691397208,439.0428732451811,2022-07-01,2022-09-28,90
B3,fold_4,2160,90,2025-05-01,2025-07-29,18.398892852116457,28.006538572290818,10.958215457948477,5.479107728974238,18.246319969986803,0.15257288212965497,0.4583639055285142,13.023783335924414,15.023955364051812,0,0,0.5212962962962963,1126,499,535,26.709327256653868,26.18247702085388,33.278266844367636,0.8166666666666667,1764,187,209,59.14743885032155,59.599094358059276,69.64594170795608,0.9416666666666667,2034,51,75,105.63408443848421,106.24913404991077,122.38078796222466,2025-05-01,2025-07-29,90
B3,fold_5,2156,90,2026-01-08,2026-04-07,25.410046370313395,35.35289346202151,14.588826064019319,7.294413032009659,25.032922409984078,0.37712396032931395,3.7652226470179175,21.0332422109128,16.16748284709491,0,0,0.42810760667903525,923,636,597,31.41283618761399,29.553318262456372,52.51843674389436,0.7351576994434137,1585,281,290,71.42343995632837,70.27263813214469,112.52950220539,0.9257884972170687,1996,96,64,119.04526945856604,120.00402643980763,166.464338010243,2026-01-08,2026-04-07,90
