policy,fold,window_start,window_end,calendar_days,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
B2,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,71.26733560656628,95.49530452798324,42.56957327682194,21.28478663841097,69.97115638064984,1.296179225916438,14.474155149555306,64.1983273942662,47.00748578275175,0,0,0.42857142857142855,72,55,41,77.2120345989111,77.2491780562362,81.3085974362873,0.6726190476190477,113,35,20,183.67398083522508,182.06281089680942,196.91330411074608,0.8571428571428571,144,12,12,345.3219940992364,348.8211858038136,365.3139946941948
B3,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,92.43407454363008,116.842462373568,52.273975445324616,26.136987722662308,93.21498954387413,-0.7809150002440427,58.45254398280635,77.51771566071248,45.911296096102305,0,0,0.44642857142857145,75,71,22,131.6177577728455,131.1521364763641,147.08416998496728,0.7083333333333334,119,48,1,262.70851004091116,267.9829333268275,289.81321776789775,0.9166666666666666,154,14,0,428.56852986794996,425.01341166396145,445.23682372983234
A1,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,63.10144270603024,82.18898724554809,39.21161296179367,19.605806480896838,61.95432409150286,1.1471186145273744,9.099668305005371,49.9818056203513,46.60713748551209,0,0,0.44047619047619047,74,56,38,85.58693505826307,99.89651901646565,114.71148265688026,0.7023809523809523,118,39,11,175.82687604977377,207.3602340442443,243.45751543820492,0.8988095238095238,151,17,0,378.77105659014677,466.444609076515,526.9776725640706
A2,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,96.63754064957263,118.10118026356487,60.03849501033721,30.019247505168604,94.13341547918789,2.504125170384726,53.95006581025749,92.81306624789657,41.303533334982006,0,0,0.44642857142857145,75,81,12,125.38038988816854,145.05717220870025,171.71750993676463,0.6547619047619048,110,58,0,261.91272012848015,293.96710192555287,378.6012215660004,0.8214285714285714,138,30,0,465.0486826092175,552.8593247815248,633.6622515093086
A3,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,70.01173970583791,91.30358397142936,45.52686090928023,22.763430454640115,68.14297051959205,1.8687691862458462,32.48837370895815,58.25021743161636,42.275160142942504,0,0,0.5059523809523809,85,64,19,93.10584447146435,106.24082594379709,128.26348814263815,0.6964285714285714,117,50,1,200.1214541051601,234.41815336104844,292.18367300634077,0.8273809523809523,139,29,0,406.2579092966602,504.8932730684327,570.4160295938013
A4,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,94.5301776967078,121.16912354656735,58.784147009249,29.3920735046245,88.88544951499546,5.6447281817123365,15.791452325802371,84.6466151518663,54.8779913623212,0,0,0.35714285714285715,60,58,50,100.87910478631832,117.64724037820974,135.06047037642924,0.6904761904761905,116,44,8,229.8406879276138,263.67366763574626,319.78388771975824,0.8154761904761905,137,29,2,432.21063361302174,512.5831221202103,605.1619324711287
A5,fold_3,2022-09-15,2022-09-21,7,168,7,2022-09-15,2022-09-21,73.69883504218045,96.88704992341597,48.18385917964198,24.09192958982099,70.71910848396163,2.9797265582188097,26.23434819294409,66.59264511453338,43.72882079313459,0,0,0.40476190476190477,68,65,35,91.12233512202425,103.6965330746495,125.27791511164537,0.7023809523809523,118,47,3,197.3139700753312,229.68344102806805,280.57375584917185,0.8273809523809523,139,29,0,412.58001315153143,501.6185171059526,574.5635101207439
B0,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,111.25166666666667,150.06662384706715,76.01199651360545,38.00599825680272,104.30142857142857,6.950238095238089,-99.6595238095238,100.9120238095238,28.65227678571429,0,0,0.5119047619047619,86,0,82,185.88357142857143,187.87000000000006,191.55250000000007,0.7023809523809523,118,0,50,434.29385714285706,423.89000000000004,464.741,0.7738095238095238,130,0,38,606.4539642857143,568.1875,657.84
B1,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,84.04077719166786,95.29593708295968,49.38408917229452,24.69204458614726,84.04077719166786,0.0,-72.95955665970227,81.16373739370331,31.739731573606917,0,0,0.25595238095238093,43,12,113,95.33467035220264,97.41544787416893,124.77225265634414,0.39880952380952384,67,3,98,159.53566246702707,154.8602602628107,217.19472840795618,0.5833333333333334,98,0,70,270.4010981526107,267.1216554864598,317.6897710672112
B2,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,43.479962625394535,55.82870554588585,24.980456502960134,12.490228251480067,44.11946571354349,-0.6395030881489555,5.699815895169757,27.974242813255774,33.2072719420492,0,0,0.5178571428571429,87,39,42,77.50348793075065,78.3306440719337,80.5342585172653,0.9047619047619048,152,11,5,183.31832053673355,183.1644719569864,193.90053871940063,0.9940476190476191,167,0,1,358.02104371315676,361.7284923211689,367.3106139751228
B3,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,62.55359153233623,72.8339786537103,33.484457095376236,16.742228547688118,54.611497748475095,7.942093783861127,-30.2375410093502,61.05881130832631,28.468343154906286,0,0,0.5833333333333334,98,15,55,130.13368246128525,129.56973966994232,136.59471513143114,0.9166666666666666,154,0,14,257.4039639950498,255.1302990384878,273.06503251557825,0.9940476190476191,167,0,1,415.76941813765404,408.73958589209576,441.6393568740922
A1,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,49.81698138359248,64.01055162454564,29.00107069649381,14.500535348246904,49.72240919884425,0.09457218474822589,5.556809233075161,36.3170074489872,33.33074899635525,0,0,0.5,84,45,39,78.21245880685188,80.07987002973493,100.07884648192258,0.7678571428571429,129,21,18,164.04922743027313,170.1307485893052,209.1511264577831,0.9761904761904762,164,1,3,368.6725328108439,395.68733441000126,471.1246370393193
A2,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,62.0967686655819,78.85026407368947,37.71175355472979,18.855876777364895,54.86632794300147,7.2304407225804255,-32.24174137299405,53.741099117631784,33.05943779708518,0,0,0.5059523809523809,85,21,62,112.23925466559247,116.42420199991568,146.31531392621946,0.8035714285714286,135,8,25,244.82339096683765,256.7823851879466,315.87731492098345,0.9642857142857143,162,0,6,452.1642171293347,470.9968020895907,580.2797778353761
A3,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,52.804934548172774,66.8610734569821,31.30394028589471,15.651970142947356,50.33608742657292,2.4688471215998553,-13.357240292719124,42.55425160664907,31.535095496402505,0,0,0.4880952380952381,82,32,54,85.4865061040384,88.804719388378,108.99055019509818,0.75,126,15,27,176.81070364947263,181.91608790104988,227.01512954130453,0.9821428571428571,165,0,3,399.68716601099237,423.86768696783275,506.7620669058932
A4,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,63.97014004213873,78.53089754825365,35.099435491992594,17.549717745996297,61.13842779861367,2.831712243525046,-24.877296747585373,50.68000147759616,38.99238296221823,0,0,0.4107142857142857,69,28,71,100.0744512830669,105.22954436803684,125.57627828649782,0.8154761904761905,137,11,20,223.65776616375382,234.49126334829583,283.8742161429194,0.9880952380952381,166,0,2,436.21521088594454,454.72498722272604,554.1804500620706
A5,fold_3,2022-09-22,2022-09-28,7,168,7,2022-09-22,2022-09-28,54.47485504451381,67.70579364285187,31.506878318439142,15.753439159219571,51.48986303216031,2.9849920123534988,-17.69724132844753,43.41497004722986,32.828796963821524,0,0,0.42857142857142855,72,27,69,86.57101482139129,90.89310590958124,110.40163256333258,0.75,126,14,28,187.00507268723328,190.32075728143704,240.16554866200224,0.9821428571428571,165,0,3,408.39018674691084,424.40599325501273,525.7405089258954
