run_00z,delivery_day,archive_span,file_present,file_bytes,path,field_inventory,n_step,missing_chunks,inventory_error,folds
2020-11-12,2020-11-13,inside,True,3294042763,data/2020/11/12/20201112_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-13,2020-11-14,inside,True,3311183096,data/2020/11/13/20201113_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-14,2020-11-15,inside,False,,,,,,,fold_2;fold_3
2020-11-15,2020-11-16,inside,False,,,,,,,fold_2;fold_3
2020-11-16,2020-11-17,inside,False,,,,,,,fold_2;fold_3
2020-11-17,2020-11-18,inside,False,,,,,,,fold_2;fold_3
2020-11-18,2020-11-19,inside,True,3297778572,data/2020/11/18/20201118_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-19,2020-11-20,inside,False,,,,,,,fold_2;fold_3
2020-11-20,2020-11-21,inside,False,,,,,,,fold_2;fold_3
2020-11-21,2020-11-22,inside,False,,,,,,,fold_2;fold_3
2020-11-22,2020-11-23,inside,False,,,,,,,fold_2;fold_3
2020-11-23,2020-11-24,inside,True,3345677984,data/2020/11/23/20201123_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-24,2020-11-25,inside,False,,,,,,,fold_2;fold_3
2020-11-25,2020-11-26,inside,True,3334580788,data/2020/11/25/20201125_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-26,2020-11-27,inside,False,,,,,,,fold_2;fold_3
2020-11-27,2020-11-28,inside,True,3310526601,data/2020/11/27/20201127_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-28,2020-11-29,inside,True,3293484897,data/2020/11/28/20201128_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-11-29,2020-11-30,inside,False,,,,,,,fold_2;fold_3
2020-11-30,2020-12-01,inside,True,3301604904,data/2020/11/30/20201130_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-01,2020-12-02,inside,True,3291167759,data/2020/12/1/20201201_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-02,2020-12-03,inside,True,3293728056,data/2020/12/2/20201202_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-03,2020-12-04,inside,True,3277412450,data/2020/12/3/20201203_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-04,2020-12-05,inside,True,3283983697,data/2020/12/4/20201204_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-05,2020-12-06,inside,True,3254777845,data/2020/12/5/20201205_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-06,2020-12-07,inside,True,3248088334,data/2020/12/6/20201206_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-07,2020-12-08,inside,True,3264984194,data/2020/12/7/20201207_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-08,2020-12-09,inside,True,3266045611,data/2020/12/8/20201208_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-09,2020-12-10,inside,True,3254379728,data/2020/12/9/20201209_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-10,2020-12-11,inside,True,3261756471,data/2020/12/10/20201210_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-11,2020-12-12,inside,True,3266563967,data/2020/12/11/20201211_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-12,2020-12-13,inside,True,3268643799,data/2020/12/12/20201212_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-13,2020-12-14,inside,True,3276979220,data/2020/12/13/20201213_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-14,2020-12-15,inside,True,3280275741,data/2020/12/14/20201214_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-15,2020-12-16,inside,True,3290636042,data/2020/12/15/20201215_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-16,2020-12-17,inside,True,3285486409,data/2020/12/16/20201216_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-17,2020-12-18,inside,True,3275603906,data/2020/12/17/20201217_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-18,2020-12-19,inside,True,3286909883,data/2020/12/18/20201218_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-19,2020-12-20,inside,True,3303931094,data/2020/12/19/20201219_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-20,2020-12-21,inside,True,3319799502,data/2020/12/20/20201220_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-21,2020-12-22,inside,True,3331257521,data/2020/12/21/20201221_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-22,2020-12-23,inside,True,3311516321,data/2020/12/22/20201222_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-23,2020-12-24,inside,True,3269578042,data/2020/12/23/20201223_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-24,2020-12-25,inside,True,3240025836,data/2020/12/24/20201224_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-25,2020-12-26,inside,True,3229833482,data/2020/12/25/20201225_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-26,2020-12-27,inside,True,3253018140,data/2020/12/26/20201226_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-27,2020-12-28,inside,True,3274307346,data/2020/12/27/20201227_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-28,2020-12-29,inside,True,3313274813,data/2020/12/28/20201228_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-29,2020-12-30,inside,True,3319466639,data/2020/12/29/20201229_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-30,2020-12-31,inside,True,3332981167,data/2020/12/30/20201230_00.zarr.zip,pass,93,,,fold_2;fold_3
2020-12-31,2021-01-01,inside,True,3337860270,data/2020/12/31/20201231_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-01,2021-01-02,inside,True,3344218462,data/2021/1/1/20210101_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-02,2021-01-03,inside,True,3323393609,data/2021/1/2/20210102_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-03,2021-01-04,inside,True,3312541254,data/2021/1/3/20210103_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-04,2021-01-05,inside,True,3301055049,data/2021/1/4/20210104_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-05,2021-01-06,inside,True,3319630842,data/2021/1/5/20210105_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-06,2021-01-07,inside,True,3296958054,data/2021/1/6/20210106_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-07,2021-01-08,inside,True,3299374666,data/2021/1/7/20210107_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-08,2021-01-09,inside,True,3298805638,data/2021/1/8/20210108_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-09,2021-01-10,inside,True,3298774520,data/2021/1/9/20210109_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-10,2021-01-11,inside,True,3290458561,data/2021/1/10/20210110_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-11,2021-01-12,inside,True,3281719552,data/2021/1/11/20210111_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-12,2021-01-13,inside,True,3283376550,data/2021/1/12/20210112_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-13,2021-01-14,inside,True,3292632838,data/2021/1/13/20210113_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-14,2021-01-15,inside,True,3305028912,data/2021/1/14/20210114_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-15,2021-01-16,inside,True,3304870819,data/2021/1/15/20210115_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-16,2021-01-17,inside,True,3303631236,data/2021/1/16/20210116_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-17,2021-01-18,inside,True,3296472680,data/2021/1/17/20210117_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-18,2021-01-19,inside,True,3292629440,data/2021/1/18/20210118_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-19,2021-01-20,inside,True,3282537162,data/2021/1/19/20210119_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-01-20,2021-01-21,inside,True,3285220138,data/2021/1/20/20210120_00.zarr.zip,pass,93,,,fold_2;fold_3
