run_00z,lead,field,prerun_attempts,attempts_so_far,run_status,retained_raw_review_sample,owner_o1_extra_allowance,production_attempts_remaining,review_attempt_reserved
2022-08-25,21,u100,1,1,incomplete,True,1,2,True
2022-08-25,21,v10,1,1,incomplete,True,1,2,True
2022-08-25,21,v100,1,1,incomplete,True,1,2,True
2022-08-25,24,dswrf,1,1,incomplete,True,1,2,True
2022-08-25,24,u10,1,1,incomplete,True,1,2,True
2022-08-25,24,u100,1,1,incomplete,True,1,2,True
2022-08-25,24,v10,1,1,incomplete,True,1,2,True
2022-08-25,24,v100,1,1,incomplete,True,1,2,True
2022-08-25,27,dswrf,1,1,incomplete,True,1,2,True
2022-08-25,27,u10,1,1,incomplete,True,1,2,True
2022-08-25,27,u100,1,1,incomplete,True,1,2,True
2022-08-25,27,v10,1,1,incomplete,True,1,2,True
2022-08-25,27,v100,1,1,incomplete,True,1,2,True
2022-08-25,30,dswrf,1,1,incomplete,True,1,2,True
2022-08-25,30,u10,1,1,incomplete,True,1,2,True
2022-08-25,30,u100,1,1,incomplete,True,1,2,True
2022-08-25,30,v10,1,1,incomplete,True,1,2,True
2022-08-25,30,v100,1,1,incomplete,True,1,2,True
2022-08-25,33,dswrf,1,1,incomplete,True,1,2,True
2022-08-25,33,u10,1,1,incomplete,True,1,2,True
2022-08-25,33,u100,1,1,incomplete,True,1,2,True
2022-08-25,33,v10,1,1,incomplete,True,1,2,True
2022-08-25,33,v100,1,1,incomplete,True,1,2,True
2022-08-25,36,dswrf,1,1,incomplete,True,1,2,True
2022-08-25,36,u10,1,1,incomplete,True,1,2,True
2022-08-25,36,u100,1,1,incomplete,True,1,2,True
2022-08-25,36,v10,1,1,incomplete,True,1,2,True
2022-08-25,36,v100,1,1,incomplete,True,1,2,True
2023-03-24,21,dswrf,1,1,incomplete,True,1,2,True
2023-03-24,21,u10,1,1,incomplete,True,1,2,True
2023-03-24,21,u100,1,1,incomplete,True,1,2,True
2023-03-24,21,v10,1,1,incomplete,True,1,2,True
2023-03-24,21,v100,1,1,incomplete,True,1,2,True
2023-03-24,24,dswrf,1,1,incomplete,True,1,2,True
2023-03-24,24,u10,1,1,incomplete,True,1,2,True
2023-03-24,24,u100,1,1,incomplete,True,1,2,True
2023-03-24,24,v10,1,1,incomplete,True,1,2,True
2023-03-24,24,v100,1,1,incomplete,True,1,2,True
